Character,Field,Value
Paul Foreman,Died,9th September 2024
Paul Foreman,Last appearance,9th September 2024  8th November 2024 (Vision)
Paul Foreman,No times married,1.0
Paul Foreman,Spouse(s),Billy Mayhew (2023)
Paul Foreman,Duration,"2018, 2019-2024"
Paul Foreman,Sibling(s),Gemma Winter  Kit Green (half-brother)
Paul Foreman,Played by,Peter Ash
Paul Foreman,Bigamy committed,False
Paul Foreman,First appearance,11th May 2018
Paul Foreman,Number of appearances,605
Paul Foreman,Mother,Bernie Winter
Paul Foreman,Gender,Male
Paul Foreman,Father,Denny Foreman
Paul Foreman,Born,24th August 1990
Paul Kershaw,First appearance,8th December 2010
Paul Kershaw,Bigamy committed,False
Paul Kershaw,Spouse(s),Lesley Kershaw (1988)
Paul Kershaw,Sec,Medium
Paul Kershaw,Last appearance,21st August 2013
Paul Kershaw,Played by,Tony Hirst
Paul Kershaw,Number of appearances,179
Paul Kershaw,Gender,Male
Paul Kershaw,Born,19th August
Paul Kershaw,Occupation,Firefighter
Paul Kershaw,Sic,Public admin & defence; social security
Paul Kershaw,No times married,1.0
Paul Kershaw,Duration,"2010, 2011-2013"
Paula Martin,Gender,Female
Paula Martin,Duration,2018-2020
Paula Martin,Played by,Stirling Gallacher
Paula Martin,Children,Isla another child
Paula Martin,No times married,1.0
Paula Martin,Occupation,Solicitor
Paula Martin,Sic,"Professional, scientific & technical activities"
Paula Martin,Sec,High
Paula Martin,Spouse(s),Tim
Paula Martin,Bigamy committed,False
Paula Martin,Number of appearances,90
Paula Martin,Last appearance,10th June 2020
Paula Martin,First appearance,17th August 2018
Paula Martin,Residence,"Redbank Apartments, Victoria Street"
Paula Martin,Born,c.1967
Penny King,Last appearance,17th April 2006
Penny King,No times married,1.0
Penny King,First appearance,8th August 2003
Penny King,Duration,2003-2006
Penny King,Sic,"Professional, scientific & technical activities"
Penny King,Bigamy committed,False
Penny King,Sec,High
Penny King,Spouse(s),Preston King
Penny King,Occupation,Businesswoman
Penny King,Number of appearances,118
Penny King,Played by,Pauline Fleming
Penny King,Gender,Female
Percy Sugden,Sibling(s),Millie Prior
Percy Sugden,Bigamy committed,False
Percy Sugden,Last appearance,20th October 1997
Percy Sugden,Residence,Mayfield Court
Percy Sugden,Sic,Administrative & support services
Percy Sugden,No times married,1.0
Percy Sugden,Played by,Bill Waddington
Percy Sugden,Occupation,Caretaker (retired)
Percy Sugden,Duration,1983-1997
Percy Sugden,Born,8th April 1922
Percy Sugden,Sec,Low
Percy Sugden,Birthplace,Weatherfield
Percy Sugden,Spouse(s),Mary Jackson (1946)
Percy Sugden,First appearance,22nd August 1983
Percy Sugden,Number of appearances,982
Percy Sugden,Gender,Male
Peter Barlow,Mother,Valerie Barlow
Peter Barlow,Number of appearances,1911
Peter Barlow,Birthplace,Weatherfield
Peter Barlow,Last appearance,26th December 2023
Peter Barlow,Children,Simon Barlow (2003)  Unnamed stillborn son (2018)
Peter Barlow,Played by,Robert Heanue (1965-1970)  Christopher Dormer (1970-1971)  Mark Duncan (1971)  Linus Roache (1973-1975)  Joseph McKenna (1977-1978) David Lonsdale (1986)  Chris Gascoyne (2000-2023)
Peter Barlow,Born,5th April 1965
Peter Barlow,No times married,6.0
Peter Barlow,Duration,"1965-1971, 1973, 1974, 1975, 1977, 1978, 1986, 2000-2003, 2007, 2008-2014, 2015, 2016-2023"
Peter Barlow,First appearance,5th April 1965
Peter Barlow,Sibling(s),Lawrence Cunningham (half-brother) Susan Barlow Tracy Barlow (adoptive half-sister) Daniel Osbourne (half-brother)
Peter Barlow,Gender,Male
Peter Barlow,Bigamy committed,True
Peter Barlow,Father,Ken Barlow
Peter Barlow,Spouse(s),"Jessica Midgeley (1990)Lucy Richards (2003)Shelley Unwin (2003, bigamous)Leanne Battersby (2010)  Carla Connor (2013, 2021)"
Phil Jennings,Last appearance,29th July 1991
Phil Jennings,Spouse(s),Valerie Jennings
Phil Jennings,No times married,1.0
Phil Jennings,Occupation,Businessman
Phil Jennings,Sic,Financial & insurance activities
Phil Jennings,Number of appearances,63
Phil Jennings,Gender,Male
Phil Jennings,Duration,1990-1991
Phil Jennings,Sec,High
Phil Jennings,Played by,Tommy Boyle
Phil Jennings,Bigamy committed,False
Phil Jennings,First appearance,19th September 1990
Phil Nail,Sec,Medium
Phil Nail,Gender,Male
Phil Nail,Duration,2005-2006
Phil Nail,No times married,0.0
Phil Nail,Played by,Clive Russell
Phil Nail,Sic,Human health & social work activities
Phil Nail,Sibling(s),3 older sisters1 younger brother (deceased)
Phil Nail,First appearance,15th August 2005
Phil Nail,Bigamy committed,False
Phil Nail,Occupation,Reflexologist
Phil Nail,Number of appearances,61
Phil Nail,Birthplace,Scotland
Phil Nail,Last appearance,27th March 2006
Phill Whittaker,Last appearance,25th July 2022
Phill Whittaker,No times married,2.0
Phill Whittaker,Bigamy committed,False
Phill Whittaker,Spouse(s),Camilla Perrin  Fiz Stape (2022)
Phill Whittaker,Gender,Male
Phill Whittaker,Number of appearances,80
Phill Whittaker,Duration,2021-2022
Phill Whittaker,Born,8th December 1975
Phill Whittaker,Residence,6 Copson Avenue
Phill Whittaker,Mother,Mimi Halliday
Phill Whittaker,First appearance,16th July 2021
Phill Whittaker,Played by,Jamie Kenna
Phyllis Pearce,No times married,1.0
Phyllis Pearce,First appearance,20th September 1982
Phyllis Pearce,Gender,Female
Phyllis Pearce,Mother,Violet Grimes
Phyllis Pearce,Number of appearances,505
Phyllis Pearce,Sec,Low
Phyllis Pearce,Occupation,Cleaner (retired)previously Waitress
Phyllis Pearce,Born,7th February 1921
Phyllis Pearce,Last appearance,1st May 1996
Phyllis Pearce,Residence,Mayfield Court
Phyllis Pearce,Father,Joshua Grimes
Phyllis Pearce,Spouse(s),Harold Pearce (1946)
Phyllis Pearce,Duration,"1982-1983, 1984-1993, 1994-1996"
Phyllis Pearce,Sic,Other services
Phyllis Pearce,Sibling(s),A sister  5 other siblings
Phyllis Pearce,Children,Margaret Whitely (1945)
Phyllis Pearce,Birthplace,Weatherfield
Phyllis Pearce,Bigamy committed,False
Phyllis Pearce,Played by,Jill Summers
Poppy Morales,Gender,Female
Poppy Morales,Played by,Sophiya Haque
Poppy Morales,Duration,2008-2009
Poppy Morales,Bigamy committed,False
Poppy Morales,Last appearance,8th June 2009
Poppy Morales,No times married,0.0
Poppy Morales,Occupation,Barmaid
Poppy Morales,Sic,Accommodation & food services
Poppy Morales,Number of appearances,60
Poppy Morales,Sec,Low
Poppy Morales,First appearance,17th December 2008
Rana Habeeb,Occupation,Nurse
Rana Habeeb,Father,Hassan Habeeb
Rana Habeeb,Last appearance,20th March 2019 (real Rana)  31st May 2019 (vision)
Rana Habeeb,No times married,1.0
Rana Habeeb,Gender,Female
Rana Habeeb,First appearance,19th February 2016
Rana Habeeb,Born,1991
Rana Habeeb,Played by,Bhavna Limbachia
Rana Habeeb,Number of appearances,244
Rana Habeeb,Spouse(s),Zeedan Nazir (2016)
Rana Habeeb,Died,19th March 2019
Rana Habeeb,Duration,2016-2019
Rana Habeeb,Mother,Saira Habeeb
Rana Habeeb,Sic,Human health & social work activities
Rana Habeeb,Bigamy committed,False
Rana Habeeb,Sec,Medium
Rana Habeeb,Sibling(s),Imran Habeeb
Raquel Watts,Played by,Sarah Lancashire
Raquel Watts,First appearance,23rd January 1991
Raquel Watts,Father,Larry Wolstenhulme
Raquel Watts,Sibling(s),Bernice Wolstenhulme  3 other siblings
Raquel Watts,Last appearance,2nd January 2000
Raquel Watts,Sec,Low
Raquel Watts,No times married,2.0
Raquel Watts,Gender,Female
Raquel Watts,Children,Alice Watts (1997)  Another child (2000)
Raquel Watts,Mother,Eileen Wolstenhulme
Raquel Watts,Born,26th May 1966
Raquel Watts,Sic,Accommodation & food services
Raquel Watts,Bigamy committed,False
Raquel Watts,Occupation,Barmaid
Raquel Watts,Birthplace,Eccles
Raquel Watts,Residence,France
Raquel Watts,Duration,"1991-1996, 2000"
Raquel Watts,Spouse(s),Norman Watts (1995)  Armand de Beaux (2000)
Raquel Watts,Number of appearances,533
Ray Crosby,Sic,Accommodation & food services
Ray Crosby,Bigamy committed,False
Ray Crosby,Played by,Mark Frost
Ray Crosby,Duration,2019-2021
Ray Crosby,Children,A daughter
Ray Crosby,Gender,Male
Ray Crosby,Sec,High
Ray Crosby,No times married,0.0
Ray Crosby,Occupation,Hotelier
Ray Crosby,First appearance,5th July 2019
Ray Crosby,Last appearance,19th November 2021
Ray Crosby,Number of appearances,117
Ray Crosby,Born,c.1968
Ray Langton,Bigamy committed,False
Ray Langton,Sibling(s),Janice Langton
Ray Langton,Children,Tracy Langton (1977)Unnamed stillborn son
Ray Langton,No times married,2.0
Ray Langton,Played by,Neville Buswell
Ray Langton,Birthplace,"2 Gas Street, Weatherfield"
Ray Langton,Sic,Construction
Ray Langton,Sec,Low
Ray Langton,Number of appearances,798
Ray Langton,Died,8th April 2005
Ray Langton,Mother,Mary Langton
Ray Langton,Gender,Male
Ray Langton,Born,18th February 1947
Ray Langton,Occupation,Builder
Ray Langton,First appearance,21st February 1966
Ray Langton,Last appearance,10th April 2005
Ray Langton,Spouse(s),Deirdre Hunt (1975)Unnamed second wife
Ray Langton,Duration,"1966, 1968-1978, 2005"
Reg Holdsworth,Duration,1989-1995 (Coronation Street)  1999 (After Hours)
Reg Holdsworth,Gender,Male
Reg Holdsworth,Number of appearances,410
Reg Holdsworth,Occupation,Retail manager
Reg Holdsworth,First appearance,25th October 1989
Reg Holdsworth,Bigamy committed,False
Reg Holdsworth,Born,14th March 1942
Reg Holdsworth,Sec,Medium
Reg Holdsworth,Last appearance,24th November 1995
Reg Holdsworth,Played by,Ken Morley
Reg Holdsworth,Spouse(s),Veronica Hardback (1989)  Maureen Naylor (1994)
Reg Holdsworth,Sic,"Wholesale, retail & repair of motor vehicles"
Reg Holdsworth,Children,A daughter (1996)
Reg Holdsworth,No times married,2.0
Renee Roberts,Last appearance,30th July 1980
Renee Roberts,Duration,1976-1980
Renee Roberts,Played by,Madge Hindle
Renee Roberts,Number of appearances,237
Renee Roberts,Spouse(s),Alf Roberts (1978)
Renee Roberts,Born,3rd March 1943
Renee Roberts,Sec,Low
Renee Roberts,Bigamy committed,False
Renee Roberts,Father,Harold Bradshaw
Renee Roberts,Occupation,Shopkeeper
Renee Roberts,Sibling(s),Terry Bradshaw
Renee Roberts,First appearance,10th May 1976
Renee Roberts,Gender,Female
Renee Roberts,Sic,"Wholesale, retail & repair of motor vehicles"
Renee Roberts,No times married,1.0
Renee Roberts,Mother,Daisy Hibbert
Renee Roberts,Died,30th July 1980
Richard Hillman,Occupation,Businessman
Richard Hillman,Sic,Financial & insurance activities
Richard Hillman,Played by,Brian Capron
Richard Hillman,Bigamy committed,False
Richard Hillman,Duration,2001-2003
Richard Hillman,Gender,Male
Richard Hillman,Sec,High
Richard Hillman,First appearance,20th June 2001
Richard Hillman,Spouse(s),Marion Hillman (1971)  Patricia Hillman (1997)  Gail Platt (2002)
Richard Hillman,Died,14th March 2003
Richard Hillman,Number of appearances,220
Richard Hillman,Mother,Pamela Hillman
Richard Hillman,Last appearance,14th March 2003  25th December 2024 (1) (Dream sequence)
Richard Hillman,No times married,3.0
Richard Hillman,Born,20th December 1951
Rita Tanner,No times married,4.0
Rita Tanner,First appearance,2nd December 1964
Rita Tanner,Occupation,Newsagent at The Kabin
Rita Tanner,Sic,"Wholesale, retail & repair of motor vehicles"
Rita Tanner,Mother,Amy Littlewood
Rita Tanner,Played by,Barbara Knox
Rita Tanner,Born,25th February 1932
Rita Tanner,Duration,"1964, 1972 to present"
Rita Tanner,Father,Harold Littlewood
Rita Tanner,Gender,Female
Rita Tanner,Spouse(s),Harry Bates (common-law)  Len Fairclough (1977)  Ted Sullivan (1992)  Dennis Tanner (2012)
Rita Tanner,Bigamy committed,False
Rita Tanner,Residence,10a Coronation Street
Rita Tanner,Birthplace,Manchester
Rita Tanner,Number of appearances,3966 (as of Episode 11557/8)
Rita Tanner,Sec,Low
Rob Donovan,Children,Bobby Crawford
Rob Donovan,Duration,"2012-2014, 2015-2016, 2017, 2025"
Rob Donovan,Gender,Male
Rob Donovan,No times married,0.0
Rob Donovan,Last appearance,26th March 2025 (2)
Rob Donovan,Mother,Sharon Donovan
Rob Donovan,Born,1979
Rob Donovan,First appearance,9th July 2012 (1)
Rob Donovan,Bigamy committed,False
Rob Donovan,Played by,Marc Baylis
Rob Donovan,Sibling(s),Carla Connor (half-sister)
Rob Donovan,Number of appearances,346
Roger Stiles,Sic,Construction
Roger Stiles,Duration,2007-2008
Roger Stiles,Sec,Medium
Roger Stiles,First appearance,1st January 2007
Roger Stiles,Gender,Male
Roger Stiles,Last appearance,8th October 2008
Roger Stiles,Bigamy committed,False
Roger Stiles,Occupation,Plumber
Roger Stiles,No times married,0.0
Roger Stiles,Played by,Andrew Dunn
Roger Stiles,Number of appearances,66
Ronnie Bailey,Number of appearances,285 (as of Episode 11557/8)
Ronnie Bailey,First appearance,19th February 2021
Ronnie Bailey,Father,Sarge Bailey
Ronnie Bailey,Duration,2021 to present
Ronnie Bailey,Gender,Male
Ronnie Bailey,Spouse(s),Ruth Bailey  Kat Bailey (2018)
Ronnie Bailey,Occupation,Developer
Ronnie Bailey,Bigamy committed,False
Ronnie Bailey,No times married,2.0
Ronnie Bailey,Sec,High
Ronnie Bailey,Played by,Vinta Morgan
Ronnie Bailey,Residence,3 Coronation Street
Ronnie Bailey,Born,18th October 1969
Ronnie Bailey,Sic,Real estate activities
Ronnie Bailey,Sibling(s),Ed Bailey
Ronnie Clayton,No times married,1.0
Ronnie Clayton,Spouse(s),Jimmy Clayton
Ronnie Clayton,First appearance,3rd October 2005
Ronnie Clayton,Born,30th June 1975
Ronnie Clayton,Bigamy committed,False
Ronnie Clayton,Last appearance,11th June 2006
Ronnie Clayton,Occupation,Taxi driver
Ronnie Clayton,Gender,Male
Ronnie Clayton,Played by,Emma Stansfield
Ronnie Clayton,Duration,2005-2006
Ronnie Clayton,Sic,Transport & storage
Ronnie Clayton,Sec,Low
Ronnie Clayton,Number of appearances,56
Rosie Webster,No times married,0.0
Rosie Webster,First appearance,25th December 1990
Rosie Webster,Duration,"1990-2012, 2017-2018"
Rosie Webster,Born,24th December 1990
Rosie Webster,Last appearance,8th June 2018
Rosie Webster,Sec,Low
Rosie Webster,Number of appearances,1365
Rosie Webster,Mother,Sally Webster
Rosie Webster,Sibling(s),Sophie Webster  Jake Webster (half-brother)  Jack Webster (half-brother)
Rosie Webster,Occupation,Game show assistant
Rosie Webster,Father,Kevin Webster
Rosie Webster,Gender,Female
Rosie Webster,Bigamy committed,False
Rosie Webster,Played by,Emma Collinge (1990-1999)  Helen Flanagan (2000-2018)
Rosie Webster,Sic,Other services
Rosie Webster,Birthplace,"Rosamund Street, Weatherfield"
Roy Cropper,Sic,Accommodation & food services
Roy Cropper,Bigamy committed,False
Roy Cropper,Occupation,Proprietor of Roy's Rolls
Roy Cropper,Born,21st September 1954
Roy Cropper,No times married,2.0
Roy Cropper,Played by,David Neilson
Roy Cropper,Gender,Male
Roy Cropper,Father,St. John Cropper
Roy Cropper,Residence,16a Victoria Street
Roy Cropper,Number of appearances,2823 (as of Episode 11557/8)
Roy Cropper,Spouse(s),Tracy Barlow (2003)Hayley Cropper (2010)
Roy Cropper,Sibling(s),Richard Lucas (half-brother)Isabelle Cropper (half-sister)Stephen Cropper (half-brother)Jonathan Cropper (half-brother)
Roy Cropper,Duration,1995 to present
Roy Cropper,First appearance,19th July 1995
Roy Cropper,Sec,Medium
Roy Cropper,Mother,Sylvia Goodwin
Ruby Dobbs,Number of appearances,409 (as of Episode 11557/8)
Ruby Dobbs,Played by,Grace Hanrahan (2012-2013)  Macy Alabi (2012-2023)  Billie Naylor (2023 to present)
Ruby Dobbs,Birthplace,Rovers Return Inn
Ruby Dobbs,Duration,2012 to present
Ruby Dobbs,Sibling(s),Dorin Pop (half-brother)
Ruby Dobbs,Bigamy committed,False
Ruby Dobbs,No times married,0.0
Ruby Dobbs,First appearance,9th September 2012
Ruby Dobbs,Born,9th September 2012
Ruby Dobbs,Residence,9 Coronation Street
Ruby Dobbs,Mother,Kirsty Soames
Ruby Dobbs,Father,Tyrone Dobbs
Ruby Dobbs,Gender,Female
Russ Gray,No times married,0.0
Russ Gray,First appearance,28th May 2010
Russ Gray,Gender,Male
Russ Gray,Father,Chris Gray
Russ Gray,Mother,Cheryl Gray
Russ Gray,Last appearance,18th November 2011
Russ Gray,Bigamy committed,False
Russ Gray,Duration,2010-2011
Russ Gray,Played by,Finton Flynn
Russ Gray,Number of appearances,51
Ryan Connor,Duration,"2006-2010, 2012-2013, 2018 to present"
Ryan Connor,Birthplace,Weatherfield
Ryan Connor,Residence,15a Victoria Street
Ryan Connor,Sec,Low
Ryan Connor,Number of appearances,943 (as of Episode 11557/8)
Ryan Connor,Mother,Wendy Neeson (biological)Michelle Connor (legal mother)
Ryan Connor,Gender,Male
Ryan Connor,Played by,Ben Thompson (2006-2010)Sol Heras (2012-2013)Ryan Prescott (2018 to present)
Ryan Connor,Sibling(s),Ali Neeson (legal brother)Ruairi McDonald (legal half-brother)
Ryan Connor,Sic,Accommodation & food services
Ryan Connor,Father,Nick Neeson (biological)Dean (legal father)
Ryan Connor,No times married,0.0
Ryan Connor,Bigamy committed,False
Ryan Connor,First appearance,30th August 2006
Ryan Connor,Occupation,DJ Rovers' barman
Ryan Connor,Born,14th January 1992
Sally Metcalfe,Spouse(s),"Kevin Webster (1986, 2002)Tim Metcalfe (2015; bigamous, 2020)"
Sally Metcalfe,Sibling(s),Gina Seddon
Sally Metcalfe,Bigamy committed,True
Sally Metcalfe,Gender,Female
Sally Metcalfe,Children,Rosie Webster (1990)Sophie Webster (1994)
Sally Metcalfe,Sic,Manufacturing
Sally Metcalfe,Born,11th July 1967
Sally Metcalfe,No times married,4.0
Sally Metcalfe,Number of appearances,3856 (as of Episode 11557/8)
Sally Metcalfe,Occupation,Machinery Supervisor at Underworld
Sally Metcalfe,Residence,4 Coronation Street
Sally Metcalfe,Mother,Elsie Seddon
Sally Metcalfe,Father,Eddie Seddon
Sally Metcalfe,Played by,Sally Dynevor
Sally Metcalfe,First appearance,27th January 1986
Sally Metcalfe,Sec,Medium
Sally Metcalfe,Birthplace,Weatherfield
Sally Metcalfe,Duration,1986 to present
Sam Blakeman,Played by,Jude Riordan
Sam Blakeman,First appearance,2nd October 2020
Sam Blakeman,Mother,Natasha Blakeman
Sam Blakeman,Gender,Male
Sam Blakeman,Number of appearances,296 (as of Episode 11557/8)
Sam Blakeman,Duration,2020 to present
Sam Blakeman,No times married,0.0
Sam Blakeman,Father,Nick Tilsley
Sam Blakeman,Born,28th April 2011
Sam Blakeman,Bigamy committed,False
Sam Blakeman,Residence,12 Victoria Court
Sam Kingston,No times married,0.0
Sam Kingston,Number of appearances,139
Sam Kingston,First appearance,19th June 2000
Sam Kingston,Gender,Male
Sam Kingston,Last appearance,7th June 2002
Sam Kingston,Mother,Brenda Kingston
Sam Kingston,Occupation,Mechanic
Sam Kingston,Bigamy committed,False
Sam Kingston,Sec,Low
Sam Kingston,Residence,Ibiza
Sam Kingston,Duration,2000-2002
Sam Kingston,Played by,Scott Wright
Sam Kingston,Sic,"Wholesale, retail & repair of motor vehicles"
Samantha Failsworth,Birthplace,Manchester
Samantha Failsworth,Number of appearances,225
Samantha Failsworth,Duration,1996-1998
Samantha Failsworth,Spouse(s),Ritchie Fitzgerald (1996)
Samantha Failsworth,Sic,Accommodation & food services
Samantha Failsworth,Occupation,Barmaid
Samantha Failsworth,Mother,Marjorie Failsworth
Samantha Failsworth,Gender,Female
Samantha Failsworth,First appearance,17th July 1996
Samantha Failsworth,Sec,Low
Samantha Failsworth,Bigamy committed,False
Samantha Failsworth,No times married,1.0
Samantha Failsworth,Born,5th March 1976
Samantha Failsworth,Played by,Tina Hobley
Samantha Failsworth,Father,Clive Failsworth
Samantha Failsworth,Last appearance,15th June 1998
Samir Rachid,Sec,Low
Samir Rachid,Sic,Accommodation & food services
Samir Rachid,Played by,Al Nedjari
Samir Rachid,Duration,1994-1995
Samir Rachid,Last appearance,2nd June 1995
Samir Rachid,Died,2nd June 1995
Samir Rachid,Birthplace,Morocco
Samir Rachid,Born,14th January 1973
Samir Rachid,Spouse(s),Deirdre Barlow (1994)
Samir Rachid,Occupation,Waiter
Samir Rachid,Bigamy committed,False
Samir Rachid,First appearance,24th August 1994
Samir Rachid,No times married,1.0
Samir Rachid,Number of appearances,67
Samir Rachid,Sibling(s),A younger sister
Samir Rachid,Gender,Male
Sandra Butler,Sec,Low
Sandra Butler,Number of appearances,51
Sandra Butler,First appearance,17th November 1969
Sandra Butler,Gender,Female
Sandra Butler,Father,Terry Butler
Sandra Butler,Born,c.1952
Sandra Butler,No times married,0.0
Sandra Butler,Sibling(s),Bernard Butler
Sandra Butler,Occupation,Hairdresser
Sandra Butler,Bigamy committed,False
Sandra Butler,Last appearance,31st August 1970
Sandra Butler,Sic,Other services
Sandra Butler,Residence,London
Sandra Butler,Mother,Fay Butler
Sandra Butler,Played by,Patricia Fuller
Sandra Butler,Duration,1969-1970
Sandra Petty,Mother,Mary Petty
Sandra Petty,Gender,Female
Sandra Petty,Father,Lionel Petty
Sandra Petty,Born,21st June 1946
Sandra Petty,Sic,"Wholesale, retail & repair of motor vehicles"
Sandra Petty,First appearance,4th November 1964
Sandra Petty,No times married,0.0
Sandra Petty,Occupation,Shop assistant
Sandra Petty,Number of appearances,39
Sandra Petty,Bigamy committed,False
Sandra Petty,Sec,Low
Sandra Petty,Played by,Heather Moore
Sandra Petty,Duration,"1964, 1965"
Sandra Petty,Last appearance,1st December 1965
Sandra Stubbs,Occupation,Cleaner
Sandra Stubbs,No times married,1.0
Sandra Stubbs,Bigamy committed,False
Sandra Stubbs,Sic,Administrative & support services
Sandra Stubbs,Sec,Low
Sandra Stubbs,Spouse(s),Ronnie Stubbs
Sandra Stubbs,Played by,Sally Watts
Sandra Stubbs,Gender,Female
Sandra Stubbs,Children,Jason Stubbs
Sandra Stubbs,First appearance,2nd May 1988
Sandra Stubbs,Number of appearances,53
Sandra Stubbs,Last appearance,22nd February 1989
Sandra Stubbs,Duration,1988-1989
Sarah Platt,Occupation,Underworld manager
Sarah Platt,Duration,"1987-2008, 2015 to present"
Sarah Platt,Spouse(s),Jason Grimshaw (2007)Adam Barlow (2020)
Sarah Platt,Bigamy committed,False
Sarah Platt,No times married,2.0
Sarah Platt,Played by,Leah King (1987)Lynsay King (1987-1999)Tina O'Brien (1999 to present)
Sarah Platt,Sibling(s),Nick TilsleyDavid Platt (half-brother)Charlotte Platt (adoptive half-sister)
Sarah Platt,Number of appearances,2725 (as of Episode 11557/8)
Sarah Platt,Sic,Manufacturing
Sarah Platt,Children,Bethany Platt (2000)Billy Platt (2004)Harry Platt (2016)
Sarah Platt,Gender,Female
Sarah Platt,Mother,Gail Chadwick
Sarah Platt,Father,Brian TilsleyMartin Platt (adoptive)
Sarah Platt,Birthplace,Weatherfield General
Sarah Platt,Residence,7 Redbank Apartments
Sarah Platt,Born,2nd February 1987
Sarah Platt,Sec,Medium
Sarah Platt,First appearance,2nd February 1987
Scooter Makuna,Born,c.1985
Scooter Makuna,Number of appearances,50
Scooter Makuna,Last appearance,6th November 2005
Scooter Makuna,Played by,Sushil Chudasama
Scooter Makuna,Gender,Male
Scooter Makuna,First appearance,26th January 2005
Scooter Makuna,Duration,2005
Scooter Makuna,Bigamy committed,False
Scooter Makuna,Residence,Regent Street
Scooter Makuna,No times married,0.0
Sean Skinner,Played by,Terence Hillyer
Sean Skinner,Occupation,Bookmaker
Sean Skinner,No times married,1.0
Sean Skinner,Bigamy committed,False
Sean Skinner,Number of appearances,103
Sean Skinner,Sibling(s),a sister
Sean Skinner,Spouse(s),Lynne Skinner
Sean Skinner,Gender,Male
Sean Skinner,Sic,Other services
Sean Skinner,Last appearance,5th May 1997
Sean Skinner,Sec,Medium
Sean Skinner,First appearance,1st August 1994
Sean Skinner,Duration,1994-1997
Sean Tully,Gender,Male
Sean Tully,Number of appearances,2128 (as of Episode 11557/8)
Sean Tully,First appearance,13th July 2003
Sean Tully,Sic,Manufacturing
Sean Tully,Duration,"2003, 2004 to present"
Sean Tully,No times married,0.0
Sean Tully,Sibling(s),Half-brother
Sean Tully,Father,Paul Jones
Sean Tully,Played by,Antony Cotton
Sean Tully,Bigamy committed,False
Sean Tully,Born,13th September 1976
Sean Tully,Children,Dylan Wilson (2008)
Sean Tully,Occupation,Machinist
Sean Tully,Residence,"Flat 2, Weatherfield Precinct"
Sean Tully,Mother,Maureen Tully
Sean Tully,Sec,Low
Seb Franklin,First appearance,10th October 2016 (2)
Seb Franklin,Number of appearances,315
Seb Franklin,Sibling(s),Charlie Franklin (half-brother)  Lexi Franklin (half-sister)  Alfie Franklin (half-brother)  another half-sister
Seb Franklin,Father,Tez Wyatt
Seb Franklin,Mother,Abi Franklin
Seb Franklin,No times married,0.0
Seb Franklin,Duration,2016-2021
Seb Franklin,Sec,Low
Seb Franklin,Occupation,Handyman
Seb Franklin,Bigamy committed,False
Seb Franklin,Died,7th May 2021
Seb Franklin,Last appearance,7th May 2021 (2)  18th February 2025 (1) (hallucination)
Seb Franklin,Sic,Construction
Seb Franklin,Born,6th March 2001
Seb Franklin,Played by,Harry Visinoni
Seb Franklin,Gender,Male
Shannon Tattersall,Died,17th April 1998
Shannon Tattersall,Born,27th August 1997
Shannon Tattersall,Bigamy committed,False
Shannon Tattersall,Birthplace,Weatherfield
Shannon Tattersall,Father,Liam Shepherd
Shannon Tattersall,Mother,Zoe Tattersall
Shannon Tattersall,Duration,1997-1998
Shannon Tattersall,Gender,Female
Shannon Tattersall,No times married,0.0
Shannon Tattersall,Last appearance,17th April 1998
Shannon Tattersall,First appearance,27th August 1997
Shannon Tattersall,Played by,Lucy Whipday
Shannon Tattersall,Number of appearances,61
Sharif Nazir,Sec,High
Sharif Nazir,Sic,Financial & insurance activities
Sharif Nazir,Played by,Marc Anwar
Sharif Nazir,Number of appearances,165
Sharif Nazir,Gender,Male
Sharif Nazir,Occupation,Businessman
Sharif Nazir,Children,Kal Nazir
Sharif Nazir,Bigamy committed,False
Sharif Nazir,First appearance,24th February 2014
Sharif Nazir,Last appearance,4th November 2016
Sharif Nazir,Residence,Newcastle
Sharif Nazir,No times married,1.0
Sharif Nazir,Spouse(s),Yasmeen Nazir (1971)
Sharif Nazir,Duration,2014-2016
Sharon Bentley,Mother,Karen Gaskell
Sharon Bentley,No times married,1.0
Sharon Bentley,Sibling(s),Wayne Gaskell  Darren Gaskell  Gary Gaskell
Sharon Bentley,Gender,Female
Sharon Bentley,Spouse(s),Ian Bentley (1999)
Sharon Bentley,First appearance,1st March 1982
Sharon Bentley,Duration,"1982, 1983-1984, 1999, 2021"
Sharon Bentley,Number of appearances,209
Sharon Bentley,Born,22nd March 1965
Sharon Bentley,Last appearance,25th June 2021
Sharon Bentley,Bigamy committed,False
Sharon Bentley,Played by,Tracie Bennett
Sharon Bentley,Father,Geoffrey Gaskell
Sheila Crossley,Duration,"1961, 1962-1963, 1966, 1969, 1974"
Sheila Crossley,Gender,Female
Sheila Crossley,Bigamy committed,False
Sheila Crossley,Children,Danny Crossley (1964)
Sheila Crossley,Born,23rd April 1940
Sheila Crossley,Mother,Mrs Birtles
Sheila Crossley,Residence,Sheffield
Sheila Crossley,Sec,Low
Sheila Crossley,Sibling(s),Raymond Birtles  Eric Birtles
Sheila Crossley,Number of appearances,161
Sheila Crossley,Sic,Manufacturing
Sheila Crossley,Birthplace,Manchester
Sheila Crossley,Father,Mr Birtles
Sheila Crossley,Played by,Eileen Mayers
Sheila Crossley,Occupation,Factory worker
Sheila Crossley,Last appearance,2nd October 1974
