Character,Birthplace,Children,Duration,Father,Gender,Mother,Number of appearances,Occupation,Played by,Residence,Sec,Sibling(s),Sic,Spouse(s),Born,Died,First appearance,Last appearance,Exit status,Exit date,Start date,Segment,Max segment
Janet Barlow,Keswick,,"1969, 1971, 1973-1974, 1975, 1977",Charles Reid,Female,Jacqueline Reid,71,Town clerk,Judith Barker,,Medium,Helen Reid,Public admin & defence; social security,Ken Barlow (1973),1942-11-28,1977-02-21,1969-06-16,1977-02-21,Exit,1975-06-30,1973-06-30,2,3
Janet Barlow,Keswick,,"1969, 1971, 1973-1974, 1975, 1977",Charles Reid,Female,Jacqueline Reid,71,Town clerk,Judith Barker,,Medium,Helen Reid,Public admin & defence; social security,Ken Barlow (1973),1942-11-28,1977-02-21,1969-06-16,1977-02-21,Death,1977-02-21,1977-02-20,3,3
Janice Battersby,Weatherfield,Toyah Lee (1982),1997-2011,Rod Lee,Female,Dottie Lee,1557,Machinist,Vicky Entwistle,Liverpool,Low,Janet Lee,Manufacturing,Les Battersby (1994),1965-06-17,,1997-01-06,2011-03-25,Exit,2011-03-25,1997-01-06,1,1
Jason Grimshaw,,,2000-2016,Tony Stewart,Male,Eileen Grimshaw,1509,Builder,Ryan Thomas,Thailand,Low,Todd Grimshaw (half-brother),Construction,Sarah Platt (2007),1983-06-27,,2000-12-25,2016-06-29,Exit,2016-06-29,2000-12-25,1,1
Jed Stone,Liverpool,,"1961, 1962-1963, 1966, 2008-2009","""Spider"" Stone",Male,,128,Criminal (retired),Kenneth Cope,"Square Apartments, Wigan",Low,,Other services,,1940-03-06,,1961-04-24,2009-02-02,Exit,1963-06-30,1961-04-24,1,2
Jed Stone,Liverpool,,"1961, 1962-1963, 1966, 2008-2009","""Spider"" Stone",Male,,128,Criminal (retired),Kenneth Cope,"Square Apartments, Wigan",Low,,Other services,,1940-03-06,,1961-04-24,2009-02-02,Exit,2009-02-02,2008-06-30,2,2
Jenna Kamara,Nottingham,,2012-2014,Lloyd Mullaney (biological father)Johnny Kamara (legal father),Female,Mandy Kamara,154,,Krissi Bohn,Madrid,,younger half-sister,,,1984-04-24,,2012-09-19,2014-08-13,Exit,2014-08-13,2012-09-19,1,1
Jenny Connor,,Tom Midgeley (2008),"1986-1991, 1993, 2015, 2016 to present",Alan Bradley,Female,Pat Bradley,1390 (as of Episode 11557/8),Part-time counter staff at The Kabin,Sally Ann Matthews,10a Coronation Street,Low,,"Wholesale, retail & repair of motor vehicles",Gregory Midgeley  Johnny Connor (2017),1971-03-04,,1986-01-06,,Exit,1991-06-30,1986-01-06,1,2
Jenny Connor,,Tom Midgeley (2008),"1986-1991, 1993, 2015, 2016 to present",Alan Bradley,Female,Pat Bradley,1390 (as of Episode 11557/8),Part-time counter staff at The Kabin,Sally Ann Matthews,10a Coronation Street,Low,,"Wholesale, retail & repair of motor vehicles",Gregory Midgeley  Johnny Connor (2017),1971-03-04,,1986-01-06,,Alive,2025-06-30,2015-06-30,2,2
Jerry Booth,,One daughter (1964),"1962-1964, 1965-1968, 1971-1975",Ernest Booth,Male,Nellie Booth,651,Builder,Graham Haberfield,,Low,,Construction,Myra Dickinson (1963),1941-08-02,1975-11-10,1962-07-23,1975-10-29,Exit,1968-06-30,1962-07-23,1,2
Jerry Booth,,One daughter (1964),"1962-1964, 1965-1968, 1971-1975",Ernest Booth,Male,Nellie Booth,651,Builder,Graham Haberfield,,Low,,Construction,Myra Dickinson (1963),1941-08-02,1975-11-10,1962-07-23,1975-10-29,Death,1975-11-10,1971-06-30,2,2
Jerry Morton,,Jodie Morton (1978)  Darryl Morton (1989)  Mel Morton (1989)  Kayleigh Morton (1994),2007-2008,Wilf Morton,Male,,168,Shopkeeper,Michael Starke,Spain,Low,,"Wholesale, retail & repair of motor vehicles",Teresa Bryant (1978),1957-11-12,,2007-03-18,2008-09-29,Exit,2008-09-29,2007-03-18,1,1
Jesse Chadwick,,,"2008, 2009-2010, 2024",,Male,,90,Former children's entertainer  Electrician,John Thomson,France,,,,Shirley Chadwick  Jayne Chadwick  Gail Rodwell (2024),1969-11-20,,2008-12-15,2024-12-25,Exit,2010-06-30,2008-12-15,1,2
Jesse Chadwick,,,"2008, 2009-2010, 2024",,Male,,90,Former children's entertainer  Electrician,John Thomson,France,,,,Shirley Chadwick  Jayne Chadwick  Gail Rodwell (2024),1969-11-20,,2008-12-15,2024-12-25,Exit,2024-12-25,2024-06-30,2,2
Jessie Jackson,,,2005-2006,,Female,May Jackson,63,Factory worker,Nailah Cumberbatch,,Low,,Manufacturing,,,,2005-02-28,2006-01-27,Exit,2006-01-27,2005-02-28,1,1
Jim McDonald,Northern Ireland,Andy McDonald (1974)  Steve McDonald (1974)  Katie McDonald (1992),"1989-2000, 2003, 2004, 2005, 2007-2008, 2009, 2010, 2011, 2014, 2018",Edward McDonald,Male,Maisie McDonald,1168,,Charles Lawson,,,Eileen McDonald,,"Liz Greenwood (1974, 2000)",1955-11-14,,1989-10-27,2018-10-12,Exit,2000-06-30,1989-10-27,1,4
Jim McDonald,Northern Ireland,Andy McDonald (1974)  Steve McDonald (1974)  Katie McDonald (1992),"1989-2000, 2003, 2004, 2005, 2007-2008, 2009, 2010, 2011, 2014, 2018",Edward McDonald,Male,Maisie McDonald,1168,,Charles Lawson,,,Eileen McDonald,,"Liz Greenwood (1974, 2000)",1955-11-14,,1989-10-27,2018-10-12,Exit,2005-06-30,2003-06-30,2,4
Jim McDonald,Northern Ireland,Andy McDonald (1974)  Steve McDonald (1974)  Katie McDonald (1992),"1989-2000, 2003, 2004, 2005, 2007-2008, 2009, 2010, 2011, 2014, 2018",Edward McDonald,Male,Maisie McDonald,1168,,Charles Lawson,,,Eileen McDonald,,"Liz Greenwood (1974, 2000)",1955-11-14,,1989-10-27,2018-10-12,Exit,2011-06-30,2007-06-30,3,4
Jim McDonald,Northern Ireland,Andy McDonald (1974)  Steve McDonald (1974)  Katie McDonald (1992),"1989-2000, 2003, 2004, 2005, 2007-2008, 2009, 2010, 2011, 2014, 2018",Edward McDonald,Male,Maisie McDonald,1168,,Charles Lawson,,,Eileen McDonald,,"Liz Greenwood (1974, 2000)",1955-11-14,,1989-10-27,2018-10-12,Exit,2018-10-12,2018-06-30,4,4
Joanne Jackson,Liberia,,2005-2007,,Female,,218,Factory worker,Zaraah Abrahams,,Low,,Manufacturing,,1987-01-05,,2005-02-28,2007-07-20,Exit,2007-07-20,2005-02-28,1,1
Jodie Morton,,,2007,Jerry Morton,Female,Teresa Bryant,63,Shop assistant,Samantha Seager,London,Low,Darryl Morton  Mel Morton  Kayleigh Morton  Finlay Bryant (half-brother),"Wholesale, retail & repair of motor vehicles",,1978-12-21,,2007-01-29,2007-11-11,Exit,2007-11-11,2007-01-29,1,1
Joe Carter,,,2002-2003,,Male,,135,Businessman,Jonathan Wrather,,High,,Financial & insurance activities,,,,2002-05-26,2003-06-20,Exit,2003-06-20,2002-05-26,1,1
Joe McIntyre,,Tina McIntyre (1991),2008-2010,,Male,,175,Kitchen Fitter,Reece Dinsdale,,Low,,Construction,Ann McIntyre (divorced)  Gail Platt (2010),1960-04-11,2010-02-08,2008-05-26,2010-02-08,Death,2010-02-08,2008-05-26,1,1
Joel Deering,,Maeve (2023)Frankie Bolton (2024)Laila Bailey (2025),2023-2024,Gus Deering,Male,Anthea Deering,125,Solicitor,Calum Lill,,High,Three brothers,"Professional, scientific & technical activities",Emily Wilkinson,,2024-09-27,2023-09-07,2024-09-27,Death,2024-09-27,2023-09-07,1,1
John Stape,,Jade Rowan  Hope Stape (2010),2007-2011,,Male,,346,Teacher,Graeme Hawley,,Medium,,Education,Fiz Brown (2009),1978-11-22,2011-10-28,2007-05-06,2011-10-28,Death,2011-10-28,2007-05-06,1,1
Johnny Connor,,Carla Donovan (1975)  Aidan Connor (1983)  Kate Connor (1989),2015-2021,James Connor,Male,,587,Publican,Richard Hawley,,Medium,,Accommodation & food services,Louisa Connor  Jenny Bradley (2017),1953-07-30,2021-10-18,2015-10-05,2021-10-22,Death,2021-10-18,2015-10-05,1,1
Joseph Brown,Weatherfield Community Hall,,"2011-2015, 2017 to present",Chesney Winter-Brown,Male,Katy Armstrong,319 (as of Episode 11557/8),,Ronny & Tommy Cheetham (2011-2014)  Lucca-Owen Warwick (2014-2015)  William Flanagan (2017 to present),5 Coronation Street,,Aled Winter-Brown (half-brother)  Bryn Winter-Brown (half-brother)  Carys Winter-Brown (half-sister)  Llio Winter-Brown (half-sister),,,2011-12-23,,2011-12-23,,Exit,2015-06-30,2011-12-23,1,2
Joseph Brown,Weatherfield Community Hall,,"2011-2015, 2017 to present",Chesney Winter-Brown,Male,Katy Armstrong,319 (as of Episode 11557/8),,Ronny & Tommy Cheetham (2011-2014)  Lucca-Owen Warwick (2014-2015)  William Flanagan (2017 to present),5 Coronation Street,,Aled Winter-Brown (half-brother)  Bryn Winter-Brown (half-brother)  Carys Winter-Brown (half-sister)  Llio Winter-Brown (half-sister),,,2011-12-23,,2011-12-23,,Alive,2025-06-30,2017-06-30,2,2
Joshua Peacock,Weatherfield,,2002-2011,Matt Ramsden (biological father)Ashley Peacock (legal father),Male,Maxine Peacock (biological mother)Claire Peacock (legal mother),328,,Brandon Jackson (2002-2004)  Benjamin Beresford (2003-2011),France,,Freddie Peacock (Legal Brother),,,2002-04-08,,2002-04-08,2011-01-14,Exit,2011-01-14,2002-04-08,1,1
Josie Clarke,,A daughter,1995-1996,,Female,,101,Doctor's receptionist,Ellie Haddington,,Medium,A sister,Human health & social work activities,A husband,,,1995-01-16,1996-08-16,Exit,1996-08-16,1995-01-16,1,1
Joyce Smedley,,Judy Mallett (1971),1996-1997,Arthur Smedley,Female,,71,Cleaner,Anita Carey,,Low,Beryl,Administrative & support services,,,1997-02-21,1996-02-23,1997-02-21,Death,1997-02-21,1996-02-23,1,1
Jude Appleton,Newton-le-Willows,George Appleton (2017),2016-2019,,Male,Mary Taylor,91,,Paddy Wallace,,,half siblings,,Angie Appleton (2016),1984-11-28,,2016-12-25,2019-01-02,Exit,2019-01-02,2016-12-25,1,1
Judy Mallett,,Billy Mallett (1998)  Becky Mallett (1998),1995-1999,,Female,Joyce Smedley,355,Arcade employee,Gaynor Faye,,Low,,Other services,Gary Mallett (1993),1971-08-14,1999-09-24,1995-10-02,1999-09-26,Death,1999-09-24,1995-10-02,1,1
Julie Carp,,,"2008-2015, 2025",Colin Grimshaw,Female,Paula Carp,707 (as of Episode 11557/8),Factory machinist,Katy Cavanagh-Jupe,,Low,Eileen Grimshaw (half-sister),Manufacturing,A husband,1977-05-01,2025-05-05,2008-04-25,2025-05-05,Exit,2015-06-30,2008-04-25,1,2
Julie Carp,,,"2008-2015, 2025",Colin Grimshaw,Female,Paula Carp,707 (as of Episode 11557/8),Factory machinist,Katy Cavanagh-Jupe,,Low,Eileen Grimshaw (half-sister),Manufacturing,A husband,1977-05-01,2025-05-05,2008-04-25,2025-05-05,Death,2025-05-05,2025-05-04,2,2
Kal Nazir,,Alya Nazir (1993) Zeedan Nazir (1995),2013-2015,Sharif Nazir,Male,Yasmeen Nazir,146,Personal trainer,Jimi Mistry,,Medium,,Other services,Jamila Nazir,1972-03-01,2015-05-25,2013-12-08,2015-05-28,Death,2015-05-25,2013-12-08,1,1
Karen McDonald,,,2000-2004,Malcolm Phillips,Female,Margaret Phillips,496,Machinist,Suranne Jones,,Low,,Manufacturing,"Steve McDonald (2001, 2004)",1975-07-14,,2000-06-21,2004-12-26,Exit,2004-12-26,2000-06-21,1,1
Karl Munro,,,2011-2013,,Male,,305,Barman,John Michie,,Low,,Accommodation & food services,Stella Price (2013),1963-04-27,,2011-06-17,2013-09-13,Exit,2013-09-13,2011-06-17,1,1
Kate Connor,,,2015-2019,Johnny Connor,Female,Louisa Connor,447,,Faye Brookes,,,Carla Connor (half-sister)Aidan Connor,,,1989-11-16,,2015-10-05,2019-09-13,Exit,2019-09-13,2015-10-05,1,1
Katy Armstrong,,Joseph Brown (2011),"2010-2015, 2016",Owen Armstrong,Female,Linda Hancock,396,Receptionist,Georgia May Foote,,Low,Izzy Armstrong,Administrative & support services,,1994-09-10,2017-10-18,2010-07-30,2015-03-20,Exit,2015-03-20,2010-07-30,1,1
Katy Harris,Sheffield,,2002-2005,Tommy Harris,Female,Angela Harris,282,,Lucy-Jo Hudson,,,Craig Harris,,,1986-09-26,2005-04-20,2002-11-13,2005-04-20,Death,2005-04-20,2002-11-13,1,1
Kayleigh Morton,,,2007-2008,Jerry Morton,Female,Teresa Bryant,72,,Jessica Barden,Spain,,Jodie Morton  Darryl Morton  Mel Morton  Finlay Bryant (half-brother),,,1994-12-01,,2007-03-18,2008-09-29,Exit,2008-09-29,2007-03-18,1,1
Keith Appleyard,,Angela Harris (1964)  Lorraine  Pauline,2005-2006,,Male,,128,Taxidermist,Ian Redford,Bournemouth,Medium,Margery Appleyard,Manufacturing,Shirley Appleyard,,,2005-03-23,2006-07-30,Exit,2006-07-30,2005-03-23,1,1
Kelly Crabtree,,,2004-2010,,Female,,514,Factory machinist,Tupele Dorgu,,Low,A brother  A sister,Manufacturing,,1979-04-24,,2004-09-06,2010-03-19,Exit,2010-03-19,2004-09-06,1,1
Kelly Neelan,,,"2019, 2020-2022",Rick Neelan,Female,Laura Neelan,215,,Millie Gibson,,,,,,2005-05-22,,2019-06-28,2022-09-23,Exit,2022-09-23,2019-06-28,1,1
Kelly Thomson,,,1996,,Female,Lorraine Thomson,53,Childminder,Sarah Moffett,,Low,Tina Thomson,Education,,1977-10-01,,1996-02-09,1996-12-20,Exit,1996-12-20,1996-02-09,1,1
Ken Barlow,"3 Coronation Street, Weatherfield","Lawrence Cunningham (1961)  Susan Barlow (1965)  Peter Barlow (1965)  Tracy Langton (adoptive, 1986)  Daniel Osbourne (1995)","1960-2013, 2014 to present",Frank Barlow,Male,Ida Barlow,4909 (as of Episode 11557/8),Teacher (retired),William Roache,1 Coronation Street,High,David Barlow,Education,"Valerie Tatlock (1962)  Janet Reid (1973)  Deirdre Langton (1981, 2005)",1939-10-09,,1960-12-09,,Alive,2025-06-30,1960-12-09,1,1
Kevin Webster,,Rosie Webster (1990)Sophie Webster (1994)Jake Webster (2000)Jack Dobbs (2010),"1983-2013, 2014 to present",Bill Webster,Male,Alison Webster,3576 (as of Episode 11557/8),Co-owner of Websters' Auto Centre,Michael Le Vell,13 Coronation Street,Medium,Debbie WebsterCarl Webster (half-brother),"Wholesale, retail & repair of motor vehicles","Sally Seddon (1986, 2002)Alison Wakefield (2000)Abi Franklin (2021)",1965-09-03,,1983-10-19,,Alive,2025-06-30,1983-10-19,1,1
Kimberley Taylor,,,"1989-1991, 1992",Randolph Taylor,Female,Brenda Taylor,105,Shop assistant,Suzanne Hall,,Low,,"Wholesale, retail & repair of motor vehicles",,,,1989-10-25,1992-11-27,Exit,1992-11-27,1989-10-25,1,1
Kirk Sutherland,,,2000 to present,Eric Sutherland,Male,Dot Sutherland,1711 (as of Episode 11557/8),Packer at Underworld,Andrew Whyment,18a Victoria Street,Low,Maria Connor,Manufacturing,"Beth Tinker (2015, bigamous)",1982-01-28,,2000-05-22,,Alive,2025-06-30,2000-05-22,1,1
Kirsty Soames,,Ruby Soames (2012),2011-2013,Edwin Soames,Female,Alison Soames,196,Police Officer (formerly)  Packer,Natalie Gumede,,,,,,1983-05-24,2021-09-01,2011-09-07,2013-04-03,Exit,2013-04-03,2011-09-07,1,1
Kit Green,,,2024 to present,,Female,Bernie Winter,198 (as of Episode 11557/8),Detective Constable,Jacob Roberts,9 Redbank Apartments,Medium,Paul Foreman (half-brother)  Gemma Winter-Brown (half-sister),Public admin & defence; social security,,1993-05-20,,2024-05-13,,Alive,2025-06-30,2024-05-13,1,1
Kylie Platt,Eccleston Estate,Max Turner (2006)Lily Platt (2013),2010-2016,Brian Turner,Female,,624,Nail technician,Paula Lane,,Low,Becky McDonald (half-sister),Other services,David Platt (2011),1987-08-22,2016-07-15,2010-08-26,2016-07-20,Death,2016-07-15,2010-08-26,1,1
Lauren Bolton,,Frankie Bolton (2024),2022 to present,Reece Bolton,Female,Kerry Bolton,226 (as of Episode 11557/8),,Cait Fitton,,,,,,2005-12-01,,2022-11-02,,Alive,2025-06-30,2022-11-02,1,1
Leanne Battersby,,Simon Barlow (legal son)  Oliver Battersby (2017),"1997-2000, 2004-2006, 2007 to present",Les Battersby,Female,Stella Price,2800 (as of Episode 11557/8),Co-owner of Speed Daal,Jane Danson,2a Coronation Street,Medium,Greg Kelly (half-brother)  Eva Price (half-sister),Accommodation & food services,"Nick Tilsley (1998, 2013)  Peter Barlow (2010)",1981-07-02,,1997-07-04,,Exit,2000-06-30,1997-07-04,1,2
Leanne Battersby,,Simon Barlow (legal son)  Oliver Battersby (2017),"1997-2000, 2004-2006, 2007 to present",Les Battersby,Female,Stella Price,2800 (as of Episode 11557/8),Co-owner of Speed Daal,Jane Danson,2a Coronation Street,Medium,Greg Kelly (half-brother)  Eva Price (half-sister),Accommodation & food services,"Nick Tilsley (1998, 2013)  Peter Barlow (2010)",1981-07-02,,1997-07-04,,Alive,2025-06-30,2004-06-30,2,2
Len Fairclough,"Fazakerley, Liverpool",Stanley Fairclough (1950),1961-1983,Ned Fairclough,Male,Grace Fairclough,1764,Builder,Peter Adamson,,Low,,Construction,Nellie Briggs (1949)  Rita Littlewood (1977),1924-11-05,1983-12-07,1961-01-25,1983-05-11,Death,1983-12-07,1961-01-25,1,1
Leo Thompkins,,,2021-2022,Teddy Thompkins,Male,,67,Civil engineer,Joe Frost,,High,,Construction,,,2022-09-26,2021-09-27,2022-09-26,Death,2022-09-26,2021-09-27,1,1
Leonard Swindley,Weatherfield,,"1960-1961, 1962-1965 (Coronation Street) 1965-1966 (Pardon the Expression)  1967 (Turn out the Lights)",Thomas Swindley,Male,Eliza-Jane Swindley,197 (Coronation Street)36 (Pardon the Expression)6 (Turn out the Lights),Shopkeeper,Arthur Lowe,,Low,Hilda Barnett,"Wholesale, retail & repair of motor vehicles",,1916-12-09,,1960-12-16,1965-05-31,Exit,1965-05-31,1960-12-16,1,1
Les Battersby-Brown,,Greg Kelly (1972)  Leanne Battersby (1981),"1997-2007, 2008 (see background information)",,Male,Betty Battersby,1022,Taxi driverRoadie,Bruce Jones,,Low,Josie,Transport & storage,a wife  Janice Lee (1994)  Cilla Brown (2005),1955-08-28,2024-11-27,1997-07-04,2008-05-05,Exit,2008-05-05,1997-07-04,1,1
Lewis Archer,,,"2009-2010, 2012-2013, 2018-2019",,Male,,186,Male Escort  Waiter,Nigel Havers,,,,,,1950-10-02,2019-01-01,2009-12-18,2019-01-01,Exit,2010-06-30,2009-12-18,1,3
Lewis Archer,,,"2009-2010, 2012-2013, 2018-2019",,Male,,186,Male Escort  Waiter,Nigel Havers,,,,,,1950-10-02,2019-01-01,2009-12-18,2019-01-01,Exit,2013-06-30,2012-06-30,2,3
Lewis Archer,,,"2009-2010, 2012-2013, 2018-2019",,Male,,186,Male Escort  Waiter,Nigel Havers,,,,,,1950-10-02,2019-01-01,2009-12-18,2019-01-01,Death,2019-01-01,2018-06-30,3,3
Liam Connor,Ireland,Paul Connor (2008)  Liam Connor (2009),2006-2008,Barry Connor,Male,Helen Connor,332,Businessman,Rob James-Collier,,High,Paul Connor  Michelle Connor,Financial & insurance activities,Maria Sutherland (2008),1974-02-25,2008-10-16,2006-08-30,2008-10-17,Death,2008-10-16,2006-08-30,1,1
Liam Connor (son of Maria Connor),Ainsdale Beach,,2009 to present,Liam Connor,Male,Maria Connor,312 (as of Episode 11557/8),,Imogen Moore (2009)  Logan Pearson (2009)  Ollie & Elliott Barnett (2010-2012)  Charlie Wrenshall (2012 to present),5 Victoria Court,,Paul Connor,,,2009-07-01,,2009-07-03,,Alive,2025-06-30,2009-07-03,1,1
Lily Platt,"8 Coronation Street, Weatherfield",,2013 to present,David Platt,Female,Kylie Platt,301 (as of Episode 11557/8),,Ava & Lilly Bushell (2013-2014)Betsie & Emmie Taylor (2014-2016)Brooke Malonie (2016 to present),8 Coronation Street,,Max Turner (half-brother),,,2013-08-26,,2013-08-26,,Alive,2025-06-30,2013-08-26,1,1
Linda Baldwin,,,1998-2001,Ray Sykes,Female,Evelyn Elliott,329,Machinist,Jacqueline Chadwick,Dublin,Low,Jimmy Sykes  Ryan Sykes  Dean Sykes  1 other brother,Manufacturing,Mike Baldwin (2000),1975-06-23,,1998-10-14,2001-09-05,Exit,2001-09-05,1998-10-14,1,1
Linda Cheveski,"Rovers Return Inn,Weatherfield",Paul Cheveski (1961)  Martin Cheveski (1964),"1960-1961, 1962-1963, 1966, 1967, 1968, 1984",Arnold Tanner,Female,Elsie Tanner,107,Factory worker,Anne Cunningham,"Toronto, Canada",Low,Dennis Tanner,Manufacturing,Ivan Cheveski (1958),1940-01-08,,1960-12-09,1984-06-20,Exit,1963-06-30,1960-12-09,1,3
Linda Cheveski,"Rovers Return Inn,Weatherfield",Paul Cheveski (1961)  Martin Cheveski (1964),"1960-1961, 1962-1963, 1966, 1967, 1968, 1984",Arnold Tanner,Female,Elsie Tanner,107,Factory worker,Anne Cunningham,"Toronto, Canada",Low,Dennis Tanner,Manufacturing,Ivan Cheveski (1958),1940-01-08,,1960-12-09,1984-06-20,Exit,1968-06-30,1966-06-30,2,3
Linda Cheveski,"Rovers Return Inn,Weatherfield",Paul Cheveski (1961)  Martin Cheveski (1964),"1960-1961, 1962-1963, 1966, 1967, 1968, 1984",Arnold Tanner,Female,Elsie Tanner,107,Factory worker,Anne Cunningham,"Toronto, Canada",Low,Dennis Tanner,Manufacturing,Ivan Cheveski (1958),1940-01-08,,1960-12-09,1984-06-20,Exit,1984-06-20,1984-06-19,3,3
Lionel Petty,,Sandra Petty (1946),1965-1966,,Male,,47,Shopkeeper,Edward Evans,"Rhondda, Wales",Low,,"Wholesale, retail & repair of motor vehicles",Mary Petty,,,1965-05-31,1966-01-26,Exit,1966-01-26,1965-05-31,1,1
Lisa Duckworth,,Tommy Duckworth (1992),1992-1993,Jeff Horton,Female,Doreen Horton,75,,Caroline Milmoe,,,,,Terry Duckworth (1992),1970-11-16,1993-02-12,1992-02-05,1993-02-12,Death,1993-02-12,1992-02-05,1,1
Lisa Swain,,Betsy Swain (legal),"2021, 2022, 2023, 2024 to present",,Female,,247 (as of Episode 11557/8),Detective Sergeant,Vicky Myers,15a Victoria Street,Medium,,Public admin & defence; social security,Becky Swain,,,2021-05-07,,Alive,2025-06-30,2021-05-07,1,1
Liz McDonald,,Andy McDonald (1974)  Steve McDonald (1974)  Katie McDonald (1992),"1989-1998, 2000-2001, 2003, 2004-2011, 2013-2020",George Greenwood,Female,Nancy Greenwood,2420,BarmaidReceptionist,Beverley Callard,Spain,Low,,Accommodation & food services,"Jim McDonald (1974, 2000)  Vernon Tomlin (2007)",1957-11-03,,1989-10-27,2020-06-17,Exit,1998-06-30,1989-10-27,1,4
Liz McDonald,,Andy McDonald (1974)  Steve McDonald (1974)  Katie McDonald (1992),"1989-1998, 2000-2001, 2003, 2004-2011, 2013-2020",George Greenwood,Female,Nancy Greenwood,2420,BarmaidReceptionist,Beverley Callard,Spain,Low,,Accommodation & food services,"Jim McDonald (1974, 2000)  Vernon Tomlin (2007)",1957-11-03,,1989-10-27,2020-06-17,Exit,2001-06-30,2000-06-30,2,4
Liz McDonald,,Andy McDonald (1974)  Steve McDonald (1974)  Katie McDonald (1992),"1989-1998, 2000-2001, 2003, 2004-2011, 2013-2020",George Greenwood,Female,Nancy Greenwood,2420,BarmaidReceptionist,Beverley Callard,Spain,Low,,Accommodation & food services,"Jim McDonald (1974, 2000)  Vernon Tomlin (2007)",1957-11-03,,1989-10-27,2020-06-17,Exit,2011-06-30,2003-06-30,3,4
Liz McDonald,,Andy McDonald (1974)  Steve McDonald (1974)  Katie McDonald (1992),"1989-1998, 2000-2001, 2003, 2004-2011, 2013-2020",George Greenwood,Female,Nancy Greenwood,2420,BarmaidReceptionist,Beverley Callard,Spain,Low,,Accommodation & food services,"Jim McDonald (1974, 2000)  Vernon Tomlin (2007)",1957-11-03,,1989-10-27,2020-06-17,Exit,2020-06-17,2013-06-30,4,4
Llio Winter-Brown,"Llandudno, Wales",,"2019-2020, 2022 to present",Chesney Winter-Brown,Female,Gemma Winter-Brown,92 (as of Episode 11557/8),,James Holt (2019-2020)  Arthur Taylor (2019-2020)  Charlotte Holt (2019-2022)  Lily Taylor (2019-2024)  Lucy Taylor (2019 to present),5 Coronation Street,,Joseph Brown (half-brother)  Aled Winter-Brown  Bryn Winter-Brown  Carys Winter-Brown,,,2019-10-30,,2019-10-30,,Exit,2020-06-30,2019-10-30,1,2
Llio Winter-Brown,"Llandudno, Wales",,"2019-2020, 2022 to present",Chesney Winter-Brown,Female,Gemma Winter-Brown,92 (as of Episode 11557/8),,James Holt (2019-2020)  Arthur Taylor (2019-2020)  Charlotte Holt (2019-2022)  Lily Taylor (2019-2024)  Lucy Taylor (2019 to present),5 Coronation Street,,Joseph Brown (half-brother)  Aled Winter-Brown  Bryn Winter-Brown  Carys Winter-Brown,,,2019-10-30,,2019-10-30,,Alive,2025-06-30,2022-06-30,2,2
Lloyd Mullaney,,Jenna Kamara (1984)Second daughter (2016),"2005-2006, 2007-2011, 2012-2015",,Male,,954,Taxi driver  Businessman,Craig Charles,Jersey,,,,,1964-08-01,,2005-06-20,2015-09-25,Exit,2015-09-25,2005-06-20,1,1
Lorraine Brownlow,,,"1997, 1998-1999",,Female,,73,Barmaid,Holly Newman,,Low,,Accommodation & food services,,,,1997-11-03,1999-03-12,Exit,1999-03-12,1997-11-03,1,1
Lucille Hewitt,,,"1960-1961, 1962-1969, 1970-1974",Harry Hewitt,Female,Lizzie Hewitt,744,Factory worker,Jennifer Moss,Ireland,Low,Christopher Hewitt (half-brother),Manufacturing,,1949-05-04,,1960-12-21,1974-07-01,Exit,1974-07-01,1960-12-21,1,1
Lucy Barlow,,Simon Barlow (2003),2002-2003,George Wilson,Female,,95,Florist,Katy Carmichael,,Medium,,"Wholesale, retail & repair of motor vehicles",Peter Barlow (2003),1975-07-25,2008-10-02,2002-09-22,2003-11-07,Exit,2003-11-07,2002-09-22,1,1
Luke Britton,,,2014-2018,,Male,,293,Mechanic,Dean Fagan,,Low,Steph Britton,"Wholesale, retail & repair of motor vehicles",,1990-12-29,2018-01-05,2014-03-03,2018-01-05,Death,2018-01-05,2014-03-03,1,1
Luke Strong,,,2009,,Male,,78,Businessman,Craig Kelly,Rio de Janeiro,High,,Financial & insurance activities,,1975-05-01,,2009-02-20,2009-10-19,Exit,2009-10-19,2009-02-20,1,1
Maddie Heath,,,2013-2015,,Female,Fran Heath,131,"Car Valet, Packer",Amy James-Kelly,,Low,Ben Heath,"Wholesale, retail & repair of motor vehicles",,1997-02-03,2015-06-01,2013-12-25,2015-06-01,Death,2015-06-01,2013-12-25,1,1
Maggie Cooke,"6 Tile Street,Weatherfield","Gordon Clegg (adoptive, 1950)",1968-1975,Harold Preston,Female,Margaret Preston,414,Shopkeeper,Irene Sutcliffe,Zaire (now the Democratic Republic of the Congo),Low,Betty Williams,"Wholesale, retail & repair of motor vehicles",Les Clegg (1947)  Ron Cooke (1974),1924-06-12,,1968-04-01,1975-01-13,Exit,1975-01-13,1968-04-01,1,1
Mandy Kamara,,Jenna Kamara (1984),2012-2013,,Female,,81,Chef,Pamela Nomvete,Wythenshawe,Medium,,Accommodation & food services,Johnny Kamara,,,2012-09-14,2013-08-09,Exit,2013-08-09,2012-09-14,1,1
Marcus Dent,Stevenage,,"2007-2008, 2011-2014",Ron Dent,Male,Janet Dent,318,"Midwife, formerly a sonographer",Charlie Condou,London,High,,Human health & social work activities,,1977-10-01,,2007-09-07,2014-07-14,Exit,2008-06-30,2007-09-07,1,2
